team_id,full_name,aliases,city,ballpark,owner,division,standing_2025_rank,valuation_rank,followers_x,followers_tiktok,followers_instagram,followers_total,standing_source,valuation_source,social_source,date_pulled
ATH,Athletics,"A's, Athletics, the A's, Oakland Athletics, Sacramento",West Sacramento,Sutter Health Park,John Fisher,AL West,23,18,579800,217100,573000,1369900,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
SEA,Seattle Mariners,"Mariners, M's, Seattle",Seattle,T-Mobile Park,John Stanton,AL West,7,15,739400,600600,1100000,2440000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
TEX,Texas Rangers,"Rangers, Texas, Arlington",Arlington,Globe Life Field,Ray Davis,AL West,16,13,1300000,530500,1000000,2830500,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
ATL,Atlanta Braves,"Braves, Atlanta, the Bravos",Atlanta,Truist Park,Atlanta Braves Holdings (Liberty Media),NL East,22,8,1600000,1100000,2000000,4700000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
MIA,Miami Marlins,"Marlins, Miami, Fish, Florida Marlins",Miami,loanDepot Park,Bruce Sherman,NL East,19,30,442600,287700,821000,1551300,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
NYM,New York Mets,"Mets, Amazins, NY Mets, Metropolitans",New York,Citi Field,Steve Cohen,NL East,14,6,1300000,835900,1800000,3935900,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
PHI,Philadelphia Phillies,"Phillies, Phils, Philadelphia, the Fightins",Philadelphia,Citizens Bank Park,John Middleton,NL East,2,7,2000000,673500,1500000,4173500,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
WSH,Washington Nationals,"Nationals, Nats, Washington, DC",Washington,Nationals Park,Lerner family (Mark Lerner),NL East,28,16,740700,52600,729000,1522300,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
CHC,Chicago Cubs,"Cubs, Cubbies, North Siders, Chicago Cubs",Chicago,Wrigley Field,Ricketts family (Tom Ricketts),NL Central,6,4,2400000,1000000,2000000,5400000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
CIN,Cincinnati Reds,"Reds, Cincinnati, Redlegs",Cincinnati,Great American Ball Park,Bob Castellini,NL Central,13,29,960000,633300,826000,2419300,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
MIL,Milwaukee Brewers,"Brewers, Milwaukee, Crew, the Brew Crew",Milwaukee,American Family Field,Mark Attanasio,NL Central,1,21,713500,368600,759000,1841100,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
PIT,Pittsburgh Pirates,"Pirates, Bucs, Buccos, Pittsburgh",Pittsburgh,PNC Park,Bob Nutting,NL Central,26,28,797600,500200,894000,2191800,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
STL,St. Louis Cardinals,"Cardinals, Cards, Redbirds, St. Louis",St. Louis,Busch Stadium,William DeWitt Jr.,NL Central,20,12,1300000,320400,1100000,2720400,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
ARI,Arizona Diamondbacks,"Diamondbacks, D-backs, Dbacks, Arizona, Snakes",Phoenix,Chase Field,Ken Kendrick,NL West,18,19,599300,323000,719000,1641300,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
COL,Colorado Rockies,"Rockies, Colorado, the Rox",Denver,Coors Field,Monfort family (Dick Monfort),NL West,30,25,605300,195700,586000,1387000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
LAD,Los Angeles Dodgers,"Dodgers, LA Dodgers, the Boys in Blue, Los Angeles",Los Angeles,Dodger Stadium,Guggenheim Baseball Management (Mark Walter),NL West,5,2,3000000,2800000,5900000,11700000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
SDP,San Diego Padres,"Padres, Pads, Friars, San Diego",San Diego,Petco Park,Seidler family,NL West,8,10,702300,1100000,1600000,3402300,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
SFG,San Francisco Giants,"Giants, SF Giants, San Francisco, the G-men",San Francisco,Oracle Park,Greg Johnson / Larry Baer,NL West,17,5,1500000,717700,1700000,3917700,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
